id,user_id,product,amount,order_date
1,1,Laptop Dell XPS 13,1200.50,2025-01-16 12:00:00
2,1,Mouse Logitech MX,59.99,2025-01-16 12:05:00
3,2,Smartphone iPhone 14,999.00,2025-01-21 09:30:00
4,3,Monitor LG 27",349.95,2025-02-02 14:20:00
5,4,Keyboard Keychron K8,89.90,2025-02-11 10:15:00
6,5,Tablet Samsung Galaxy,499.99,2025-02-16 13:45:00
7,6,Headphones Sony WH-1000XM5,349.00,2025-03-02 11:00:00
8,7,Smartwatch Garmin,199.50,2025-03-06 16:30:00
9,8,Laptop MacBook Air,1299.00,2025-03-11 09:10:00
10,9,SSD Samsung 1TB,129.99,2025-03-21 15:00:00
11,10,Printer HP LaserJet,249.75,2025-03-26 10:45:00
12,1,Webcam Logitech C920,79.90,2025-01-17 08:30:00
13,2,Charger Anker 65W,39.95,2025-01-22 14:00:00
14,3,Router TP-Link Archer,89.99,2025-02-03 11:15:00
15,4,Mousepad SteelSeries,19.99,2025-02-12 12:20:00
16,5,Smart Speaker Echo,99.95,2025-02-17 09:00:00
17,6,USB Hub,29.90,2025-03-03 13:15:00
18,7,External HDD 2TB,89.00,2025-03-07 10:00:00
19,8,Monitor Dell 24",279.50,2025-03-12 15:30:00
20,9,Wireless Earbuds Jabra,149.99,2025-03-22 11:45:00
21,10,Laptop Stand,34.95,2025-03-27 14:00:00
22,1,SSD NVMe 500GB,79.99,2025-01-18 16:00:00
23,2,Smart TV 55",599.00,2025-01-23 10:30:00
24,3,Gamepad Xbox,59.95,2025-02-04 13:00:00
25,4,Backpack Tech,69.90,2025-02-13 09:45:00
26,5,Power Bank 20000mAh,49.99,2025-02-18 15:20:00
27,6,Desk Lamp LED,39.95,2025-03-04 12:00:00
28,7,Mouse Wireless,29.90,2025-03-08 11:30:00
29,8,Tablet iPad Mini,499.00,2025-03-13 14:15:00
30,9,HDMI Cable 2m,14.99,2025-03-23 10:00:00